Avg. Area Income,Avg. Area House Age,Avg. Area Number of Bedrooms,Area Population,Avg. Area Number of Rooms,Address,Price
59498.07937,8,2,25401.10188,2,North Program Organization,3000000000
72409.66649,7,1,40605.96743,3,Southern Janatabad,4500000000
69316.79689,8,2,24448.21146,5,Southern Program Organization,2400000000
68656.90677,4,5,43833.85344,2,Punak,6300000000
71240.25164,6,2,42566.50177,2,Pardis,725000000
73223.9423,8,2,41113.00677,4,Southern Janatabad,2000000000
60968.33291,7,2,28483.81174,2,Southern Janatabad,2700000000
65935.61261,4,1,36262.4269,1,Southern Janatabad,2100000000
62773.52098,5,3,41389.36487,4,Southern Janatabad,2200000000
69304.57095,4,1,29465.99961,2,Southern Janatabad,2500000000
73218.99741,6,1,31619.5817,2,Gheitarieh,8000000000
63787.53635,6,5,22449.534,2,Gheitarieh,7100000000
76613.08008,9,1,43250.98997,5,Southern Janatabad,2100000000
64461.39215,6,2,34210.93608,1,West Ferdows Boulevard,2200000000
41533.01296,6,3,31685.40269,5,Southern Janatabad,2050000000
79575.64154,6,5,31050.10281,2,Jeyhoon,1500000000
82185.4699,3,3,29258.98876,3,Northern Janatabad,3900000000
69853.42418,9,5,41913.6369,3,Pardis,770000000
51519.61854,5,1,43258.6446,3,Persian Gulf Martyrs Lake,4300000000
48616.85537,4,4,29770.08343,4,West Ferdows Boulevard,2400000000
63324.58162,4,4,43281.57274,4,Qazvin Imamzadeh Hassan,1507000000
65016.22381,8,4,15902.58202,4,Pardis,950000000
76855.86579,7,3,45388.31358,4,North Program Organization,1900000000
75302.08258,5,5,42382.75153,3,Southern Program Organization,2750000000
69438.70006,7,5,57775.26139,4,Pardis,610000000
75764.20019,8,1,36712.20014,1,West Ferdows Boulevard,3300000000
68814.92561,9,5,42285.98468,1,West Ferdows Boulevard,2380000000
60912.31622,3,2,20915.81605,2,Tehransar,2000000000
41007.45867,7,3,39526.56631,4,Kook,3950000000
61949.88399,6,4,42092.88416,2,Gheitarieh,6000000000
67421.66705,4,2,20167.03999,2,Qazvin Imamzadeh Hassan,1275000000
68428.39428,3,3,31074.12492,3,Jeyhoon,4700000000
61839.6479,8,4,17244.97025,5,Northern Janatabad,4450000000
62835.25696,3,3,50097.95083,3,Persian Gulf Martyrs Lake,4800000000
72485.19746,4,5,43134.03806,3,Central Janatabad,3570000000
60945.7218,4,2,34162.95673,3,Amirabad,4500000000
83729.79177,4,2,12906.25485,2,Jeyhoon,1030000000
57605.79912,9,1,49411.4113,3,Gheitarieh,6890000000
75358.4826,9,3,21319.9943,4,Nawab,2185000000
53927.41281,9,4,37875.55012,1,Gheitarieh,10500000000
60776.38714,9,5,28318.75042,1,Qazvin Imamzadeh Hassan,1206000000
69648.51395,8,2,36038.95905,2,Central Janatabad,3350000000
59295.68011,3,4,46784.53859,2,Dorous,12000000000
97548.31041,9,3,39089.41571,3,Shahrake Gharb,9750000000
61688.68294,9,2,35552.99118,3,North Program Organization,3420000000
72469.54178,9,3,27227.81339,3,Shahr-e-Ziba,4100000000
76048.37232,3,4,22469.52253,1,Shahran,2850000000
79186.45041,9,4,17840.11679,4,Southern Janatabad,5600000000
49220.03779,6,1,46981.9261,1,Ostad Moein,1500000000
80040.17331,7,1,29699.01164,4,Punak,2250000000
51995.58286,5,5,47073.79792,5,Yousef Abad,8750000000
52711.11815,7,2,25594.16903,2,Parand,2050000000
56934.46081,5,5,37076.19846,1,Central Janatabad,4300000000
66760.70176,4,3,42292.5646,3,Yousef Abad,13500000000
52376.61152,5,4,34189.14346,4,Shahran,4180000000
70224.3205,3,5,40274.16665,4,Southern Janatabad,2020000000
62612.9093,3,4,40789.82581,2,Southern Janatabad,2300000000
80284.99543,5,1,23457.1264,5,Amirabad,8320000000
66811.70125,7,3,33499.33275,3,Shahran,3410000000
51142.40602,5,1,41872.64328,4,Shahran,1980000000
90535.16522,4,2,42249.32493,4,Shahran,2400000000
93185.81349,4,4,23723.07475,5,Northern Suhrawardi,4500000000
70743.19551,6,4,26897.71205,2,Heravi,15750000000
56024.54774,8,3,36215.96255,2,Saadat Abad,8500000000
76224.72735,6,1,50003.26101,5,Qazvin Imamzadeh Hassan,1679000000
89671.01982,6,2,15625.55284,2,Saadat Abad,5500000000
89825.65567,6,2,18598.25608,3,Shahrake Gharb,35000000000
61013.71988,8,4,34771.65985,2,Salsabil,1750000000
63362.22547,4,3,34971.82435,2,Azarbaijan,2090000000
57086.37459,6,1,39002.90125,1,Villa,4130000000
69044.94212,4,1,34764.29222,3,Pardis,375000000
81438.58143,6,1,43340.29356,1,Pardis,550000000
78299.64248,7,4,39298.23552,4,Heravi,9000000000
87386.38473,5,5,31735.76329,2,Pardis,875000000
83149.78405,6,2,45985.94575,5,Farmanieh,12000000000
94085.47298,9,5,31011.36681,1,Hakimiyeh,3100000000
60710.16208,5,2,44101.24053,2,Water Organization,3800000000
71309.25017,5,1,32356.99738,5,Shahr-e-Ziba,3300000000
93303.68385,3,1,38162.61295,1,Ostad Moein,1280000000
85631.08446,8,5,42811.78159,2,West Ferdows Boulevard,1900000000
51359.96759,6,5,40796.67545,3,Heravi,15400000000
75868.77233,6,5,39295.70265,1,Nezamabad,3300000000
82733.05492,8,2,39060.76508,1,Qazvin Imamzadeh Hassan,1420000000
67043.19535,5,4,53738.6269,4,Jeyhoon,2800000000
67037.2691,7,1,41042.43087,5,Pasdaran,7700000000
56696.5107,7,3,26083.32069,5,Qasr-od-Dasht,2950000000
65837.11694,6,4,18249.7206,5,West Ferdows Boulevard,3500000000
79477.86951,5,2,30411.18439,5,Southern Program Organization,4250000000
55048.33202,8,3,25092.6697,5,Ajudaniye,30000000000
80613.46057,7,3,35692.27654,1,Ozgol,18000000000
76848.1888,7,3,43978.25754,4,Shahran,1850000000
83586.90156,8,2,34277.63076,2,Shahran,3550000000
86343.43787,4,4,35780.35499,1,Pardis,1100000000
65846.17104,7,1,28214.36355,2,Shahran,2380000000
69577.13762,9,4,48122.10195,1,Shahran,1390000000
61581.04805,7,5,43070.51539,1,Tajrish,8200000000
79097.134,9,2,43950.66238,1,North Program Organization,2930000000
68988.29046,6,2,28734.93792,2,Shahran,2220000000
46926.37115,7,2,53820.13278,5,Central Janatabad,3480000000
84708.41206,5,3,28218.62328,1,Yousef Abad,5700000000
79619.35414,7,4,34605.39462,4,Zaferanieh,36000000000
61795.47654,9,2,40719.12679,1,Shahr-e-Ziba,2700000000
54621.01694,6,2,44500.35194,3,Southern Program Organization,2170000000
70153.87583,4,5,31863.40005,1,Pasdaran,6700000000
79292.80759,4,5,27772.67247,4,Pasdaran,9900000000
67348.10334,7,1,52158.01714,3,Central Janatabad,3150000000
73355.69291,8,3,28007.89573,5,Saadat Abad,3300000000
68958.02128,6,4,46682.34049,1,East Ferdows Boulevard,3400000000
44088.27418,4,4,31032.9203,4,Northern Janatabad,5100000000
80650.40398,7,1,54516.28746,4,Garden of Saba,7500000000
57945.32298,6,2,23040.41358,1,Farmanieh,5600000000
63625.81215,6,2,35778.45867,3,West Ferdows Boulevard,4400000000
60684.04453,4,5,42643.14291,2,Pasdaran,3500000000
90160.69097,6,1,34010.04983,2,West Ferdows Boulevard,2830000000
62016.07654,3,3,48896.82012,4,Pasdaran,5300000000
79261.14911,5,2,36128.9901,4,Punak,2300000000
49205.82261,5,3,30395.77604,5,Ostad Moein,650000000
84973.88843,9,4,38072.39536,3,Yousef Abad,8000000000
80573.79195,5,2,34411.86808,2,Pasdaran,8000000000
71062.07957,7,3,30770.84682,3,Ostad Moein,1585000000
85828.01284,5,3,29248.28287,5,Southern Janatabad,2430000000
67868.79881,4,3,32732.16105,3,Central Janatabad,3400000000
72778.91697,3,3,24559.01379,5,Southern Janatabad,3900000000
73304.90271,9,3,24283.86989,3,Qalandari,6560000000
68025.57066,6,4,35478.58299,3,Dezashib,11250000000
81024.78205,7,3,25837.86448,3,Tarasht,2150000000
69289.18068,5,3,40695.79786,2,Niavaran,17000000000
72695.11514,4,2,48115.42078,3,Elahieh,32640000000
67568.93163,9,3,36474.988,3,Feiz Garden,3600000000
76503.55092,9,5,42154.3566,3,Andisheh,500000000
66273.74016,4,3,12950.56691,3,Shahr-e-Ziba,3220000000
57736.42839,8,2,45688.1025,5,Feiz Garden,3600000000
73505.12616,6,2,31536.84908,3,Feiz Garden,3800000000
60537.86806,4,1,31247.58047,1,East Ferdows Boulevard,2530000000
66544.73679,9,2,34141.69988,4,Shahrake Gharb,12000000000
60754.63362,5,3,29425.4062,2,Pasdaran,8100000000
86160.98932,6,4,47757.31798,3,Saadat Abad,8600000000
44577.15263,5,2,27835.53654,3,West Ferdows Boulevard,2400000000
61951.48993,5,3,38737.28386,4,West Ferdows Boulevard,3100000000
79027.73784,9,4,21387.62999,5,Dorous,10000000000
69186.62252,6,3,49505.7837,5,West Ferdows Boulevard,3950000000
84268.22448,4,3,31182.38802,5,Shahr-e-Ziba,1890000000
93719.47075,8,5,39900.44995,5,Shahr-e-Ziba,4700000000
65218.34826,6,3,34863.85935,2,West Ferdows Boulevard,3800000000
78169.52469,7,1,44503.91741,4,Punak,3750000000
63907.71655,4,3,28299.46331,3,West Ferdows Boulevard,3950000000
74867.52659,3,2,57841.21935,4,Central Janatabad,5700000000
73950.97623,9,1,30518.81801,3,Shahr-e-Ziba,5100000000
74158.85755,9,2,32580.53936,2,Ostad Moein,1280000000
63280.70798,6,2,43031.5617,5,Shahrake Gharb,9200000000
75869.23511,5,2,32436.28634,3,Southern Janatabad,2113000000
61171.88271,9,3,41919.9011,2,Southern Janatabad,2108000000
66120.41947,6,2,28439.35889,4,Dezashib,12325000000
79566.91698,7,3,49311.75778,2,Northern Janatabad,2385000000
84020.49759,5,4,25975.50583,4,Yousef Abad,6300000000
83936.34197,3,2,55471.78338,3,Si Metri Ji,2220000000
60007.1358,7,1,47734.40706,4,Ekhtiarieh,8890000000
60125.80627,3,3,25424.03483,4,Ostad Moein,1585000000
70580.43789,7,3,36626.70399,5,Yousef Abad,3920000000
53029.35326,9,5,34472.30374,3,Parand,1260000000
55289.10814,3,3,30773.25899,2,Parand,1400000000
71776.6176,6,5,29802.46229,3,Shahrake Gharb,7500000000
75999.69752,8,3,35183.72026,3,Pardis,500000000
56265.97431,9,1,40493.06398,3,Shahrake Gharb,10000000000
61590.89403,9,2,34460.00827,5,Punak,3500000000
71172.48906,6,3,23264.37052,4,Punak,1950000000
57925.00217,6,5,40177.87672,4,Feiz Garden,4350000000
75025.96429,9,3,33970.36011,1,Yousef Abad,5000000000
53080.44345,4,4,23763.19723,1,Jordan,9200000000
64629.46279,3,2,46877.14557,5,Central Janatabad,1650000000
62559.29882,8,2,44521.76285,1,Pardis,500000000
90691.208,8,5,20846.53982,5,Punak,2000000000
77700.59421,3,1,38827.40581,5,Ekhtiarieh,6000000000
66141.1916,6,1,37355.86464,1,Feiz Garden,3950000000
79990.0533,8,2,37816.79808,5,Feiz Garden,1900000000
76293.94432,4,2,40712.39777,5,Andisheh,896000000
76255.78958,4,4,41297.07496,1,Southern Janatabad,2600000000
76365.18056,3,1,19991.6334,2,Farmanieh,11500000000
73438.58707,8,2,33285.95091,4,Punak,2000000000
46474.31697,5,2,28182.0961,1,Pardis,500000000
68562.02453,9,5,35476.1688,1,Farmanieh,26000000000
63785.55128,8,4,67353.9652,3,Yousef Abad,4300000000
71320.8678,5,3,47871.97184,4,Niavaran,19845000000
93128.72101,6,2,42100.83412,4,Qalandari,9150000000
71833.87358,6,5,31326.33864,5,Saadat Abad,13500000000
51815.36419,7,1,43604.79288,5,Gheitarieh,6958000000
69245.88578,3,3,37597.86841,3,Andisheh,1600000000
63765.49622,9,4,34303.41035,4,West Ferdows Boulevard,5616000000
81844.45584,8,1,51937.43709,1,Shahr-e-Ziba,2800000000
62798.23298,6,2,34652.25789,5,Razi,1230000000
56281.20523,6,2,29141.73978,4,Southern Program Organization,3150000000
67059.96664,5,4,51237.3884,1,Southern Program Organization,3680000000
58385.21537,3,4,41930.37501,2,Gheitarieh,6600000000
70259.06839,4,3,54050.64469,3,Qalandari,8500000000
87929.45357,9,3,44486.38307,2,Azari,1640000000
94733.97128,8,3,46314.69005,1,Shahran,1900000000
73504.88839,6,2,47118.42063,3,Pardis,890000000
78643.17171,5,5,13889.07602,4,West Ferdows Boulevard,3750000000
78318.81449,4,1,41569.39645,3,Central Janatabad,4370000000
63639.91745,4,5,41448.75225,3,Pasdaran,9645000000
81728.43857,7,5,51629.31874,2,Gholhak,6200000000
89551.73165,6,3,43964.65845,3,Saadat Abad,5200000000
49493.29608,4,3,39909.1753,2,Northern Janatabad,4850000000
61461.49681,6,5,49688.03647,4,Saadat Abad,5550000000
72692.59086,9,4,33125.49643,3,Pardis,800000000
79702.38615,9,5,46270.33064,4,Heravi,9850000000
54994.91829,7,5,15444.48261,5,Pasdaran,9900000000
57327.98859,4,3,28945.546,3,Qazvin Imamzadeh Hassan,1620000000
74585.8398,7,4,48051.64765,1,Pardis,760000000
77334.28651,8,5,37905.98378,3,Persian Gulf Martyrs Lake,1272000000
77132.79554,8,2,47450.66815,4,Velenjak,48000000000
96778.12107,4,3,37480.70005,4,Yousef Abad,3250000000
52046.54354,3,2,41715.54558,2,Dezashib,14500000000
78350.59665,9,4,23052.84681,5,Pardis,790000000
61602.03813,6,3,45188.13964,4,Pasdaran,10750000000
84452.45507,8,3,38221.13575,2,Central Janatabad,3500000000
84712.91002,6,1,11072.49853,3,Central Janatabad,2999000000
61492.92159,8,4,37743.40275,4,Mirdamad,56000000000
37971.20757,7,4,33267.76773,2,Southern Chitgar,5000000000
73158.73965,6,3,25175.43125,3,Pardis,860000000
74622.16435,9,5,30736.52839,2,Shahrake Apadana,5700000000
58956.26185,9,3,38529.64117,5,Punak,6670000000
69253.90435,9,4,22524.57848,2,Elahieh,31668000000
47549.63997,9,3,43526.16153,3,Central Janatabad,2400000000
73271.88723,6,5,39446.31306,1,Punak,11400000000
61478.63393,8,3,36837.81793,3,Shahran,1880000000
62317.21427,4,3,47836.24614,3,Punak,4700000000
65464.19839,8,1,26065.69266,5,Yousef Abad,7800000000
87883.58429,7,2,41012.62101,3,Dorous,8600000000
67819.25458,6,4,37515.539,1,Northern Janatabad,4400000000
65659.58698,9,4,40337.23425,4,Central Janatabad,4150000000
68827.55503,6,4,45935.96164,1,West Ferdows Boulevard,5000000000
71152.75617,4,4,40951.2393,5,Pardis,760000000
80939.63457,3,3,27771.54451,4,Ekbatan,4200000000
66860.59191,3,5,36035.5419,4,Gheitarieh,14000000000
64314.5062,3,4,37217.64338,1,Heravi,9100000000
63867.10459,4,5,14522.65907,5,East Ferdows Boulevard,2800000000
81220.07057,4,3,32859.51765,2,Ekbatan,3600000000
60880.58387,4,5,42877.51749,3,Niavaran,7000000000
66553.39912,7,4,23632.23041,3,Niavaran,19858000000
72896.248,9,1,40426.5267,1,Saadat Abad,6200000000
59160.09335,6,4,23252.90621,5,Northern Janatabad,3200000000
66412.82665,3,3,50996.64476,3,Parand,705500000
67026.44049,5,3,27677.88278,2,Southern Program Organization,2500000000
77151.91217,5,2,27117.79843,5,Niavaran,4600000000
69799.15198,8,2,38340.7314,2,Pardis,500000000
55768.79192,3,2,47989.68021,1,Andisheh,1554000000
81699.17667,8,3,19502.02714,5,Tarasht,3100000000
57367.83189,8,4,47734.10221,2,Gheitarieh,12000000000
80488.78931,6,2,36743.26834,5,North Program Organization,2450000000
68091.17968,5,3,44557.37966,4,Garden of Saba,5588000000
82587.58644,9,2,55932.22273,3,Ekbatan,3100000000
57407.72341,5,5,27117.8921,4,Pardis,539000000
64332.46664,9,2,30812.59819,1,Shahran,3190000000
66039.73844,5,1,15612.67721,1,Ostad Moein,2600000000
62397.07973,5,5,40739.87735,3,Punak,2250000000
84810.86807,5,3,28392.29036,3,Gholhak,4900000000
67051.25027,5,2,39735.70449,5,Niavaran,14500000000
83907.37141,3,2,46091.78913,4,Niavaran,20000000000
62345.8226,5,4,41982.90667,1,Kamranieh,33490000000
60960.46354,5,5,28171.98501,5,Kamranieh,13120000000
68353.72575,8,3,27804.83013,4,Niavaran,18400000000
58661.5568,7,5,17467.94423,2,Pardis,800000000
66131.00223,8,4,40979.53039,1,Shahrake Qods,620000000
67351.23819,3,1,47175.78766,4,Shahrake Qods,800000000
59933.13799,3,3,28593.00921,4,Ekbatan,2850000000
60840.49097,6,3,36241.30099,3,Pardis,770000000
94712.11582,4,1,49411.88783,2,Pirouzi,790000000
74469.21357,5,4,46500.05743,3,Gheitarieh,9000000000
78753.39011,5,3,50350.27065,5,Amirabad,550000000
80233.2283,5,4,26263.05496,4,Zaferanieh,43197000000
84473.27338,8,4,31608.06227,2,Persian Gulf Martyrs Lake,1750000000
78049.60465,9,4,42857.37096,2,Saadat Abad,5700000000
93178.4867,4,3,42808.64778,5,Parand,455000000
69949.35407,9,1,37358.20127,1,Gheitarieh,7200000000
85903.37586,4,3,25593.11792,5,Velenjak,19500000000
65283.63689,7,3,37824.71167,5,Amirabad,5500000000
79191.81762,4,4,35107.13908,2,Persian Gulf Martyrs Lake,1315000000
72242.59666,9,3,43987.87713,1,Gheitarieh,7300000000
63125.75538,6,1,51218.99899,5,Niavaran,80500000000
78581.2619,5,4,50891.20239,1,Niavaran,21000000000
59481.78201,7,5,31200.96783,3,Pardis,890000000
66770.22003,6,1,33238.33274,3,Southern Janatabad,4400000000
75368.58869,8,1,32075.26752,1,Southern Janatabad,3990000000
60419.89076,6,4,38272.92156,4,Shahr-e-Ziba,4150000000
78555.1295,8,5,34514.15856,5,Shahr-e-Ziba,3050000000
82073.52162,9,1,36337.02712,2,West Ferdows Boulevard,3450000000
64254.16327,8,1,58051.03905,4,Southern Janatabad,3400000000
53432.58657,6,1,36804.94867,4,Southern Janatabad,2200000000
67883.12867,6,3,34639.41154,3,Zaferanieh,17250000000
91832.98969,7,4,31105.11339,2,Parand,210000000
70670.87889,9,4,23592.15759,1,Qazvin Imamzadeh Hassan,1712000000
70315.42927,9,3,49697.93279,4,Aqdasieh,16000000000
48362.98195,3,2,49354.12973,2,Niavaran,6200000000
74022.13942,7,4,30053.43719,2,Ajudaniye,6300000000
65182.71263,5,3,48109.1123,5,Parastar,1030000000
54048.69105,5,3,42177.96629,1,Lavasan,27000000000
72283.94853,4,4,40277.39454,4,Velenjak,30800000000
82476.02893,6,4,30985.33652,1,West Ferdows Boulevard,2760000000
79771.83047,9,4,30611.54333,5,Ajudaniye,13500000000
57236.16689,8,2,24726.10474,5,Islamshahr,2800000000
43952.33621,6,2,25139.44994,3,Central Janatabad,3859000000
56721.45495,9,4,22904.14664,2,Farmanieh,37000000000
56654.96239,7,4,25801.96593,1,Pirouzi,1380000000
40185.73389,3,3,37766.66757,1,Aqdasieh,35000000000
71227.38881,6,1,20096.29142,5,Andisheh,1484000000
52444.86386,5,3,39288.46015,5,Farmanieh,36000000000
56825.74733,3,4,43474.77738,4,Kahrizak,862500000
55621.8991,3,5,63184.61315,2,East Ferdows Boulevard,8000000000
66510.00932,7,4,29293.61895,5,Abazar,5655000000
62639.15981,4,4,27812.68591,4,Pirouzi,1500000000
79452.82306,5,1,44852.0925,1,Pardis,535000000
83137.39364,6,2,30482.56459,5,West Ferdows Boulevard,8642000000
69143.47076,8,4,24405.28272,5,Velenjak,42840000000
68277.67278,4,2,38099.86749,2,Punak,3500000000
72251.03755,5,2,34878.59725,3,Qazvin Imamzadeh Hassan,1850000000
71373.97904,9,3,51509.59929,3,Central Janatabad,4512000000
81503.47406,5,5,46674.36501,2,Parastar,3360000000
60569.19993,5,5,16351.20287,1,Parastar,1280000000
72683.52988,8,1,18539.1007,2,Saadat Abad,6800000000
73763.56611,3,2,38550.70736,4,Shahr-e-Ziba,1890000000
75780.62112,7,2,34944.98176,3,Heravi,7600000000
77882.87702,6,3,27528.74642,4,Punak,2280000000
70608.37229,5,4,24387.6079,1,Amirabad,4730000000
67782.87109,6,2,46608.22612,3,Persian Gulf Martyrs Lake,2100000000
57714.75253,3,1,53100.99891,1,West Ferdows Boulevard,3300000000
88613.8699,4,2,42905.09538,1,Persian Gulf Martyrs Lake,3500000000
73559.42856,5,5,34374.5912,2,Hashemi,2300000000
81775.62655,8,1,30070.72806,5,Hakimiyeh,3570000000
42462.09959,9,3,42191.77602,4,Saadat Abad,12500000000
72096.85211,9,3,31584.37937,5,Punak,2700000000
43921.99999,5,3,42250.79603,1,Punak,6490000000
64114.95832,4,1,25273.20785,5,Mirdamad,9238000000
77573.87071,9,4,39055.11426,2,Railway,5000000000
70036.83153,5,4,25064.26712,2,Persian Gulf Martyrs Lake,3500000000
71183.73751,5,5,46955.01013,3,Pirouzi,1800000000
67315.59537,7,1,37811.20888,2,Kook,13000000000
72813.80169,7,2,35014.84821,3,Yousef Abad,8600000000
73023.32561,4,2,40512.89327,1,Pirouzi,2000000000
67569.87705,4,4,49054.8713,5,Narmak,5500000000
69972.85225,7,1,37815.49404,4,Gisha,7350000000
73231.05159,7,5,40788.10928,2,West Ferdows Boulevard,2400000000
80577.73068,3,3,36463.03327,5,Pirouzi,1380000000
64754.56545,9,1,27143.01692,5,Pirouzi,1750000000
55435.64378,5,5,23503.16064,5,Pirouzi,2450000000
65510.66003,8,1,45111.81139,5,Air force,3000000000
82855.94,9,2,36954.33556,1,Narmak,2250000000
89338.45337,8,1,41264.90672,1,Araj,3100000000
45990.12374,7,2,41553.83956,3,Niavaran,14850000000
76801.49678,3,1,48481.66451,2,Mahmoudieh,17000000000
61606.92174,6,3,40496.06977,3,Tenant,2030000000
65428.3117,3,3,33141.30823,4,Kamranieh,7100000000
56697.58515,4,4,37973.36334,3,Punak,9350000000
92151.66658,8,4,37067.68246,5,Niavaran,14000000000
78555.93285,9,3,29758.99972,2,North Program Organization,60000000000
72204.15622,6,5,28943.15764,3,Niavaran,38000000000
51741.87097,3,4,32730.92971,3,Saadat Abad,7300000000
71082.11278,6,2,31327.51888,3,Punak,6660000000
71328.70444,4,3,28053.0164,5,Tenant,2330000000
67150.06069,6,1,39917.87889,3,Pasdaran,11456000000
59777.37269,5,1,37836.51782,3,Pasdaran,10500000000
62725.40054,3,2,19750.68908,5,Punak,3300000000
65533.41492,5,2,25002.19225,1,Velenjak,46000000000
78293.70356,8,5,47125.53294,5,Pardis,670000000
74371.33688,5,3,33186.70176,3,Shahr-e-Ziba,4700000000
56664.40439,5,3,28364.28666,5,Andisheh,3400000000
60058.90615,7,2,33581.82371,2,Punak,2980000000
63757.05147,5,3,27244.43911,2,Tenant,1380000000
81026.60678,5,5,24407.24318,2,Shahr-e-Ziba,4100000000
83683.36054,4,4,38399.83571,3,Saadat Abad,10500000000
56103.917,5,2,41330.60856,1,Pasdaran,10000000000
67454.2131,4,1,49237.40432,5,Punak,5650000000
67631.23514,9,5,24624.6478,3,Farmanieh,37000000000
52988.0296,3,2,37791.01751,3,Farmanieh,34000000000
59549.91391,4,4,14906.24662,4,Farmanieh,35000000000
58832.50404,5,4,30200.10651,5,Aqdasieh,34800000000
76717.37134,9,3,34944.0686,3,Damavand,3850000000
73422.8322,7,3,50997.64971,3,Andisheh,355000000
59128.31877,3,3,45592.38758,2,Gheitarieh,8900000000
65614.78487,8,3,39353.68393,4,Sadeghieh,5400000000
68851.402,4,1,22121.54729,1,Damavand,3300000000
43531.85659,7,5,37388.8526,1,Gheitarieh,9800000000
53763.52801,5,2,32306.66852,5,Andisheh,13000000000
68948.40633,8,3,40078.54357,4,Pakdasht,1200000000
70795.29885,7,3,29887.45168,1,Andisheh,11000000000
72443.69473,8,5,31190.6707,3,Andisheh,11000000000
82781.64934,7,2,39587.95296,1,Pardis,550000000
67428.64356,8,3,40897.02521,2,West Ferdows Boulevard,3100000000
65841.30879,9,5,48253.27664,5,Heravi,9000000000
72257.50957,9,5,33543.04806,5,Air force,2924000000
74243.74684,4,5,40328.23344,1,Pasdaran,1000000000
71758.58762,5,2,42115.14602,3,Kook,12000000000
67511.12733,7,1,23162.54734,2,Velenjak,12650000000
71301.00707,3,1,44869.50695,2,Gheitarieh,7000000000
55784.47534,6,3,29304.17222,2,Gheitarieh,6420000000
66840.69532,9,5,32705.94933,1,Pirouzi,2688000000
58098.04984,7,1,43299.01077,2,Pardis,480000000
66252.14479,8,2,33656.23096,5,Persian Gulf Martyrs Lake,3690000000
73226.20051,3,4,30464.04404,2,Pardis,650000000
70138.51256,5,5,33434.11259,4,Persian Gulf Martyrs Lake,3800000000
65041.69131,9,3,14486.82595,1,West Pars,3100000000
68167.07984,9,1,13977.62978,4,Shahran,1580000000
61300.75352,5,3,29408.94639,2,East Ferdows Boulevard,1920000000
65175.54822,6,5,29829.0628,4,Pardis,1900000000
79037.52157,6,4,30037.99135,4,Shahran,2450000000
75985.80472,7,3,50003.08659,5,East Ferdows Boulevard,2380000000
35963.33081,4,4,24435.7773,2,East Ferdows Boulevard,2600000000
65069.90172,5,1,36778.29264,2,Gheitarieh,4225000000
60712.19769,9,4,47783.30489,1,Rudhen,1550000000
77456.1916,8,2,45581.92161,5,Aqdasieh,3500000000
61370.32349,7,4,20600.511,5,Velenjak,15700000000
79863.28594,3,1,35048.26334,3,Jeyhoon,1050000000
57980.95419,5,3,25053.9749,1,Pakdasht,910000000
63600.68699,3,1,53539.19695,5,Punak,2850000000
62113.52207,3,3,29401.14446,4,Rudhen,1000000000
82810.89479,7,2,39779.64723,4,Rudhen,750000000
69380.83777,6,4,25327.6867,1,Farmanieh,2530000000
69632.04046,3,5,34641.56508,4,Rudhen,1580000000
60377.60711,9,5,29114.28814,4,Abazar,5600000000
82103.49934,9,5,49015.28465,5,Abazar,6700000000
49856.2305,9,2,51528.83585,5,Shahrake Qods,735000000
68386.9825,4,5,37894.64968,3,Andisheh,3000000000
78288.95759,7,1,29197.3365,2,Abazar,5600000000
60762.46566,3,4,46303.3646,2,Abazar,3400000000
58913.30315,3,2,45563.71701,1,Shahrake Qods,665000000
65580.05597,6,1,48220.31523,3,Andisheh,1800000000
77021.4165,9,1,27855.39454,4,Shahrake Qods,760000000
78276.57243,5,2,21371.92379,2,Abazar,3000000000
71336.15008,7,5,25377.13674,2,Southern Janatabad,3600000000
77528.123,9,5,23976.71385,5,Northern Janatabad,2600000000
68195.03375,6,2,26921.60365,2,Heravi,14950000000
70834.02071,5,2,53490.13478,1,Air force,4200000000
94670.04592,9,4,39522.90957,5,Aqdasieh,20000000000
48524.42769,5,5,41554.0704,5,Abazar,3800000000
83403.44525,6,2,26319.72001,4,Gheitarieh,8300000000
75219.09502,6,3,37863.58218,1,Gheitarieh,35000000000
68145.92039,6,2,39187.76583,2,Abazar,4500000000
84913.97675,8,1,46136.0299,4,Karoon,880000000
82336.99245,9,5,37965.37421,5,Gheitarieh,12000000000
51962.16124,5,1,17403.09075,3,Jeyhoon,750000000
57169.41546,9,4,47966.91683,2,Dehkade Olampic,4840000000
57925.0447,4,3,43867.84454,1,Jeyhoon,1500000000
77905.82719,7,1,29282.57381,2,Ostad Moein,4000000000
62714.55443,8,4,41998.56888,4,Jeyhoon,1020000000
64901.03107,8,3,47452.38543,2,West Ferdows Boulevard,2300000000
51156.73943,3,5,25753.28312,1,Andisheh,1100000000
63766.77164,9,3,33036.19962,5,Jeyhoon,1600000000
61460.93949,8,1,40814.92851,1,Qasr-od-Dasht,1300000000
61907.59335,3,3,43828.94721,4,Amirabad,5080000000
72805.14665,5,2,30874.69886,3,Dorous,4200000000
66204.56507,9,1,36185.05006,5,Vahidieh,975000000
74548.1431,7,5,40444.19117,2,Shahran,4300000000
76453.79463,3,5,51497.66578,5,Punak,2900000000
79354.6176,3,3,31568.89569,2,Punak,4250000000
70064.23658,7,1,28122.23338,2,West Ferdows Boulevard,2200000000
74559.71664,8,1,29892.06843,1,Punak,3250000000
82321.73111,7,5,48616.26463,5,Punak,2700000000
